"job_state","job_category","category_rank","industry"
PA,Engineer,3,Health Care Services & Hospitals
PA,Scientist,1,Biotech & Pharmaceuticals
PA,Analyst,2,Biotech & Pharmaceuticals
PA,Engineer,3,Biotech & Pharmaceuticals
Remote,Scientist,1,Enterprise Software & Network Solutions
Remote,Engineer,1,Enterprise Software & Network Solutions
Remote,Scientist,1,Internet
Remote,Engineer,1,Internet
Remote,Scientist,1,Computer Hardware & Software
Remote,Engineer,1,Computer Hardware & Software
Remote,Scientist,1,IT Services
Remote,Engineer,1,IT Services
RI,Scientist,1,Biotech & Pharmaceuticals
SC,Scientist,1,Biotech & Pharmaceuticals
SC,Analyst,1,Biotech & Pharmaceuticals
SC,Scientist,1,Lending
SC,Analyst,1,Lending
TN,Scientist,1,Investment Banking & Asset Management
TN,Analyst,2,Investment Banking & Asset Management
TN,Engineer,3,Investment Banking & Asset Management
TX,Scientist,1,Staffing & Outsourcing
TX,Analyst,2,Staffing & Outsourcing
TX,Engineer,3,Staffing & Outsourcing
United States,Scientist,1,IT Services
United States,Engineer,2,IT Services
UT,Scientist,1,Banks & Credit Unions
UT,Engineer,2,Banks & Credit Unions
UT,Scientist,1,Lending
UT,Engineer,2,Lending
UT,Scientist,1,Aerospace & Defense
UT,Engineer,2,Aerospace & Defense
VA,Scientist,1,Aerospace & Defense
VA,Engineer,2,Aerospace & Defense
VA,Analyst,3,Aerospace & Defense
VA,Other,4,Aerospace & Defense
WA,Scientist,1,Energy
WA,Analyst,2,Energy
WA,Scientist,1,Consulting
WA,Analyst,2,Consulting
WI,Scientist,1,Insurance Carriers
WI,Analyst,2,Insurance Carriers
WV,Scientist,1,Consulting
